node,degree,closeness,betweenness,clustering,theta_diff,theta2,bc_single,network
26,15,0.49748743718592964,0.02684173092762366,0.08571428571428572,4.778952147709219,-63.74508505725256,13.338715912401138,ER N=100 p=0.1 (G1)
27,6,0.4107883817427386,0.0036399651689849313,0.06666666666666667,1.9519051521653346,-25.926266558514705,13.282544251575725,ER N=100 p=0.1 (G1)
28,10,0.4479638009049774,0.010726561874018258,0.1111111111111111,3.212247490037953,-42.824320137816315,13.33157556216515,ER N=100 p=0.1 (G1)
29,13,0.48058252427184467,0.018415395781415544,0.05128205128205128,4.137726244807681,-55.362394597940494,13.379907544007592,ER N=100 p=0.1 (G1)
30,14,0.4900990099009901,0.01934551914478626,0.0989010989010989,4.439680485759993,-59.45323387429721,13.391331665643477,ER N=100 p=0.1 (G1)
31,10,0.4479638009049774,0.008779152050024991,0.1111111111111111,3.2131176402066046,-42.89149014401978,13.348870146336079,ER N=100 p=0.1 (G1)
32,12,0.4782608695652174,0.011533669396504983,0.12121212121212122,3.799988895729747,-51.09326271441468,13.445634741678045,ER N=100 p=0.1 (G1)
33,5,0.4074074074074074,0.001870439338728089,0.1,1.61512387555889,-21.56883167921917,13.354289417432822,ER N=100 p=0.1 (G1)
34,13,0.49748743718592964,0.012946458927623772,0.11538461538461539,4.095457614458773,-55.16051286260295,13.468705589300201,ER N=100 p=0.1 (G1)
35,14,0.495,0.023880207411690835,0.07692307692307693,4.471487820789207,-59.62853373330269,13.335278127354576,ER N=100 p=0.1 (G1)
36,13,0.4876847290640394,0.01358091242784334,0.1282051282051282,4.110350134172492,-55.2670548240877,13.445826515996849,ER N=100 p=0.1 (G1)
37,11,0.46919431279620855,0.012192660687173323,0.10909090909090909,3.5237502113065773,-47.06849325334039,13.35749994489189,ER N=100 p=0.1 (G1)
38,11,0.4604651162790698,0.01283564247135467,0.16363636363636364,3.5354255185890793,-47.133109420101334,13.331665218876187,ER N=100 p=0.1 (G1)
39,6,0.4125,0.003282974467902984,0.13333333333333333,1.9471942737338317,-25.90779780839259,13.305194123600844,ER N=100 p=0.1 (G1)
40,13,0.47368421052631576,0.01694197023558832,0.11538461538461539,4.156081967007651,-55.45375954990135,13.342797372648464,ER N=100 p=0.1 (G1)
41,12,0.4669811320754717,0.012556259374499886,0.15151515151515152,3.8150808478414433,-51.14424945604462,13.405810124569658,ER N=100 p=0.1 (G1)
42,8,0.43043478260869567,0.006620427106112539,0.17857142857142858,2.5828679104398304,-34.37140796875205,13.307458670195421,ER N=100 p=0.1 (G1)
43,5,0.4008097165991903,0.002157491414222815,0.1,1.6261008068638532,-21.632804563702997,13.303483075827675,ER N=100 p=0.1 (G1)
44,12,0.47368421052631576,0.01994874662838499,0.06060606060606061,3.8632822972664798,-51.329517868936094,13.286504562520586,ER N=100 p=0.1 (G1)
45,13,0.4876847290640394,0.014487843239527318,0.10256410256410256,4.122195386566446,-55.29212168216567,13.413270477754054,ER N=100 p=0.1 (G1)
46,13,0.4714285714285714,0.014672251017251186,0.1282051282051282,4.121178457611748,-55.289250073726755,13.415883500897282,ER N=100 p=0.1 (G1)
47,14,0.4876847290640394,0.018883046890096112,0.06593406593406594,4.428737431919103,-59.42885968468955,13.418916925706581,ER N=100 p=0.1 (G1)
48,18,0.5294117647058824,0.027846872055182652,0.1568627450980392,5.612900871694876,-75.68824419157217,13.484692839180195,ER N=100 p=0.1 (G1)
49,8,0.4439461883408072,0.006687959528210462,0.10714285714285714,2.571570834751377,-34.34508281599636,13.355682196993378,ER N=100 p=0.1 (G1)
50,9,0.4342105263157895,0.007273601618371284,0.1111111111111111,2.9006566390058026,-38.6827900429772,13.335873513190343,ER N=100 p=0.1 (G1)
51,11,0.4541284403669725,0.01993776276605437,0.01818181818181818,3.577723458011988,-47.270338346834436,13.212406968173235,ER N=100 p=0.1 (G1)
52,12,0.4852941176470588,0.013955745123299591,0.12121212121212122,3.8201891844246703,-51.189170393205835,13.399642772119687,ER N=100 p=0.1 (G1)
53,7,0.42127659574468085,0.005738355079889941,0.0,2.276041214981209,-30.230015235067665,13.281839993093993,ER N=100 p=0.1 (G1)
