model,N,param,b_over_c,r,delta,rule,pi_init,bc_star_single,bc_star_two,rho_C_two_sim,se_two,rho_C_single_sim,se_single,rho_C_two_pred,rho_C_single_pred
ER,100,0.1,11.428571428571429,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.00508,0.0003179368993998,0.00306,0.0002470075464434,0.0007273159405491,-0.0021086166041778
ER,100,0.1,12.142857142857142,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.00692,0.0003707320757636,0.00412,0.0002864620603151,0.0044269259689206,0.0015909934241937
ER,100,0.1,12.857142857142858,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.00754,0.0003868629834967,0.00568,0.0003360874171997,0.0081265359972922,0.0052906034525652
ER,100,0.1,13.571428571428571,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.00964,0.0004369684290655,0.00696,0.0003717945238972,0.0118261460256637,0.0089902134809368
ER,100,0.1,14.285714285714285,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.01232,0.0004933197259384,0.00968,0.0004378652212724,0.0155257560540352,0.0126898235093083
ER,100,0.1,15.0,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.01544,0.00055139108444,0.01176,0.0004821141441609,0.0192253660824068,0.0163894335376798
ER,100,0.1,11.0,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.0066,0.0003621171081294,0.00716,0.0003770605892956,0.0067326880326447,0.0064112682017582
ER,100,0.1,11.714285714285714,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00762,0.0003888942169793,0.00678,0.0003669885992779,0.0071026490354818,0.0067812292045954
ER,100,0.1,12.428571428571429,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00792,0.0003964157817241,0.00736,0.0003822520215773,0.007472610038319,0.0071511902074325
ER,100,0.1,13.142857142857142,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00776,0.0003924227924063,0.0074,0.0003832816197001,0.0078425710411561,0.0075211512102697
ER,100,0.1,13.857142857142858,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00744,0.0003843083761772,0.00778,0.0003929242064317,0.0082125320439933,0.0078911122131068
ER,100,0.1,14.571428571428571,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.00892,0.0004204862328305,0.00802,0.0003988904511266,0.0085824930468304,0.008261073215944
ER,100,0.1,15.285714285714285,5.0,0.02,dB-Bd,0.0076045627376425,13.303900231053708,12.683333220666984,0.0088,0.0004176735567401,0.00842,0.0004086343989436,0.0089524540496676,0.0086310342187811
