g1,g2,panel,iC,iM,bc_single,bc_two,b_over_c,t,mean_R_all,n_R_all,mean_R_coop,n_R_coop,mean_R_def,n_R_def,rho_C
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,7,0.37240873047240897,90571,0.33218591420007004,32432,0.3948464465896999,58139,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,10,0.23471676409801526,59484,0.2184320699110045,25340,0.2468024643878996,34144,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,15,0.10782686182309001,31876,0.11354564606019929,15516,0.10240310533024308,16360,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,20,0.04894402085570281,17513,0.056362501530764345,8996,0.04110832141307533,8517,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,30,0.015677313586418964,5345,0.04047671918196489,2810,-0.011812362833101392,2535,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,50,0.018197872865236282,480,0.013319296351946251,254,0.023680874787252518,226,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,75,-0.19608391983992027,23,-0.002344331954268823,11,-0.37367854206843415,12,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,100,-0.09188611699158103,2,-0.5,1,0.31622776601683794,1,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,150,,0,,0,,0,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,200,,0,,0,,0,0.143862
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,1,-0.12606763241236832,346916,-0.08110224571610418,58377,-0.13516499664815051,288539,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,2,-0.07640980783216475,266196,-0.021549263372983508,52607,-0.08992196745820234,213589,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,3,-0.04918736401483501,215821,0.0017246559953468137,49143,-0.06419815967688657,166678,0.14017
25,17,bot_i,0,1,28.32430170860728,31.30719802134768,12.170815754856065,5,-0.03001625353074779,154638,0.005382611534413777,44686,-0.04440283753378501,109952,0.14017
